year,<1300cc,1300cc - 1900cc,>1900cc
1994,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1995,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1996,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1997,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1998,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1999,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
2000,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
2001,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
2002,"[31624, 40382, 74281, 52127, 36978, 42487, 33769, 24436, 21152, 17780, 20611, 19426, 19604, 12336, 7358, 4011, 6068]","[70599, 76833, 103869, 77461, 67454, 60793, 52849, 40168, 37600, 29747, 24520, 15996, 12004, 6347, 2829, 1379, 1950]","[12823, 12836, 12828, 9836, 10181, 7838, 6671, 7349, 6523, 5110, 4850, 3390, 3136, 2147, 1090, 702, 1303]"
1987,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
